"Površina vinogradov in število sadik glede na gojitveno obliko, vinorodne dežele, Slovenija, 2009 in 2015"

" ";" ";" ";"Kraški latnik";"Viseči šparoni 'casarsa'";"Navadni latnik";"Sylvoz";"Ribji hrbet";"Enojni guyot";"Dvojni guyot";"Iloška vzgoja";"Pahljačaste vzgoje";"Nižji enoramni kordon";"Nižji dvoramni kordon";"Nizka ob kolju (ekstenzivni vinogradi)";"Vertiko";"Neznana"
"Površina (ha)"
" ";"2009"
" ";" ";"SLOVENIJA";185.9;2009.1;211.2;341.3;29.2;3486.1;6580.4;4.3;1.2;127.0;41.3;28.5;0.6;3308.2
" ";" ";"Podravje";z;25.3;z;8.1;z;1334.5;4722.2;3.4;z;94.4;23.0;12.1;z;718.8
" ";" ";"Posavje";-;z;z;6.2;z;264.5;450.3;z;z;0.9;z;z;z;1999.2
" ";" ";"Primorje";z;1981.6;210.2;327.0;28.3;1883.8;1402.3;z;z;31.7;11.6;1.4;z;577.7
" ";" ";"Izven vinorodnih dežel";-;z;-;-;-;3.4;5.6;-;-;-;z;z;-;12.6
" ";"2015"
" ";" ";"SLOVENIJA";160.7;1457.7;164.3;259.2;20.5;4731.8;5446.9;3.2;1.2;89.6;27.9;17.2;0.7;3307.1
" ";" ";"Podravje";z;16.9;0.4;6.4;z;1953.6;3830.9;z;z;62.8;15.7;7.6;z;617.3
" ";" ";"Posavje";-;z;z;2.0;z;293.1;334.6;z;z;0.7;z;8.9;z;2109.4
" ";" ";"Primorje";z;1439.1;163.0;250.7;20.1;2480.9;1275.5;z;z;26.1;8.5;0.6;z;565.5
" ";" ";"Izven vinorodnih dežel";-;z;z;-;-;4.3;5.9;-;-;-;z;0.2;-;14.9
"Število sadik (v 1000)"
" ";"2009"
" ";" ";"SLOVENIJA";499.5;5652.3;579.0;1041.5;82.5;14016.8;23805.0;17.5;3.8;435.3;144.1;127.0;2.7;12507.1
" ";" ";"Podravje";z;86.5;z;31.8;z;5578.8;17459.9;14.4;z;324.1;82.9;47.8;z;2581.2
" ";" ";"Posavje";-;z;z;22.9;z;1157.8;1772.6;z;z;3.4;z;z;z;8192.4
" ";" ";"Primorje";z;5557.4;575.6;986.9;79.7;7264.9;4550.0;z;z;107.8;34.6;4.5;z;1677.4
" ";" ";"Izven vinorodnih dežel";-;z;-;-;-;15.4;22.5;-;-;-;z;z;-;56.0
" ";"2015"
" ";" ";"SLOVENIJA";440.7;4195.0;439.8;830.8;59.5;18788.3;19936.6;13.7;3.7;311.9;98.2;66.0;1.8;12557.1
" ";" ";"Podravje";z;62.3;1.2;26.2;z;7736.1;14330.1;z;z;217.6;56.5;27.6;z;2329.2
" ";" ";"Posavje";-;z;z;7.8;z;1249.2;1325.9;z;z;2.6;z;35.4;z;8538.0
" ";" ";"Primorje";z;4125.8;435.4;796.8;58.1;9786.1;4257.2;z;z;91.8;25.9;2.2;z;1629.6
" ";" ";"Izven vinorodnih dežel";-;z;z;-;-;17.0;23.4;-;-;-;z;0.8;-;60.1

"Vir: Statistični urad Republike Slovenije. "
" "
"Zaradi zaokroževanja števil se seštevki ponekod ne ujemajo."

"Povezane vsebine: "
"- (seznam "
"HREF=http://www.stat.si/StatWeb/Common/PrikaziDokument.ashx?IdDatotek-"
"e=8222 target=_blank) Metodološka pojasnila"

