"Površina vinogradov in število sadik glede na podlage, vinorodne dežele, Slovenija, 2009 in 2015"

" ";" ";" ";"Riparia portalis";"Rupestris du lot";"Kober 125aa";"Kober 5bb";"420 a";"So4";"Teleki 8b";"Teleki 5 c";"V-m";"Vi-m";"Binova";"8 bč";"Boerner";"Paulsen 1103";"Richter 99";"Richter 110";"3309 couderc";"41 b";"Ni podatka"
"Površina (ha)"
" ";"2009"
" ";" ";"SLOVENIJA";4.9;29.3;47.0;3324.7;188.6;3908.8;2.4;63.9;0.4;3.3;37.3;2.4;1.6;z;6.1;55.6;34.3;z;8544.5
" ";" ";"Podravje";1.3;z;26.0;2188.7;-;671.9;z;50.0;-;z;19.6;-;z;z;-;z;z;z;3981.4
" ";" ";"Posavje";0.7;z;z;z;z;769.0;z;12.4;0.4;z;13.3;z;-;z;0.1;-;-;-;1420.4
" ";" ";"Primorje";2.9;z;z;621.4;z;2464.2;-;z;-;-;4.4;-;z;z;6.0;z;z;z;3125.1
" ";" ";"Izven vinorodnih dežel";-;-;z;z;-;3.7;-;z;-;-;-;z;-;-;-;-;-;-;17.6
" ";"2015"
" ";" ";"SLOVENIJA";5.9;62.4;71.2;3461.6;212.1;5302.6;3.8;78.6;0.7;5.6;128.5;3.8;2.0;111.8;5.9;131.9;z;z;6063.4
" ";" ";"Podravje";2.2;z;40.3;2275.1;z;908.8;2.8;65.7;-;0.5;81.2;-;z;z;-;z;z;z;3132.3
" ";" ";"Posavje";1.4;z;z;494.0;z;991.4;1.1;z;z;5.1;35.0;z;z;13.0;0.1;-;-;-;1193.2
" ";" ";"Primorje";2.3;61.2;z;690.2;209.8;3397.8;-;z;z;-;12.3;-;z;z;5.8;z;z;z;1719.3
" ";" ";"Izven vinorodnih dežel";-;-;z;2.3;-;4.6;-;z;-;-;-;z;-;z;-;-;-;-;18.5
"Število sadik (v 1000)"
" ";"2009"
" ";" ";"SLOVENIJA";16.4;85.0;164.0;12664.2;734.4;14886.4;8.8;258.9;1.7;14.5;158.0;10.7;6.3;z;25.9;210.1;135.2;z;29160.2
" ";" ";"Podravje";4.7;z;105.9;8774.4;-;2713.4;z;200.9;-;z;81.4;-;z;z;-;z;z;z;14313.7
" ";" ";"Posavje";2.3;z;z;2030.4;z;3380.7;z;51.8;1.7;z;60.6;z;-;z;0.3;-;-;-;5666.0
" ";" ";"Primorje";9.4;z;z;z;z;8772.9;-;z;-;-;15.9;-;z;z;25.6;z;z;z;9107.4
" ";" ";"Izven vinorodnih dežel";-;-;z;z;-;19.5;-;z;-;-;-;z;-;-;-;-;-;-;73.1
" ";"2015"
" ";" ";"SLOVENIJA";21.6;178.8;254.3;13161.3;805.8;19984.3;14.9;317.9;2.7;24.9;531.4;16.1;8.1;428.4;24.4;517.2;z;z;21306.0
" ";" ";"Podravje";8.0;z;161.7;8996.1;z;3585.6;11.5;264.4;-;2.2;329.2;-;z;z;-;z;z;z;11415.8
" ";" ";"Posavje";6.0;z;z;1930.2;z;4272.5;3.4;z;z;22.8;152.4;z;z;59.9;0.4;-;-;-;4655.7
" ";" ";"Primorje";7.6;174.3;z;2225.3;796.1;12107.8;-;z;z;-;49.8;-;z;z;23.9;z;z;z;5161.0
" ";" ";"Izven vinorodnih dežel";-;-;z;9.6;-;18.5;-;z;-;-;-;z;-;z;-;-;-;-;73.4

"Vir: Statistični urad Republike Slovenije. "
" "
"Zaradi zaokroževanja se seštevki ponekod ne ujemajo."

"Povezane vsebine: "
"- (seznam "
"HREF=http://www.stat.si/StatWeb/Common/PrikaziDokument.ashx?IdDatotek-"
"e=8222 target=_blank) Metodološka pojasnila"

