"Površina vinogradov in število sadik najpogostejših sort, vinorodne dežele, Slovenija, 2009 in 2015"

" ";" ";" ";"Bele sorte- Beli pinot";"Bele sorte- Chardonnay";"Bele sorte- Kraljevina";"Bele sorte- Laški rizling";"Bele sorte- Malvazija";"Bele sorte- Rebula";"Bele sorte- Renski rizling";"Bele sorte- Rumeni muškat";"Bele sorte- Sauvignon";"Bele sorte- Sivi pinot";"Bele sorte- Šipon";"Bele sorte- Traminec";"Bele sorte- Zeleni silvanec";"Ostale bele sorte";"Rdeče sorte- Barbera";"Rdeče sorte- Cabernet franc";"Rdeče sorte- Cabernet sauvignon";"Rdeče sorte- Merlot";"Rdeče sorte- Modra frankinja";"Rdeče sorte- Modri pinot";"Rdeče sorte- Portugalka";"Rdeče sorte- Refošk";"Rdeče sorte- Zweigelt";"Rdeče sorte- Žametovka";"Rdeče sorte- Syrah";"Ostale rdeče sorte";"Ni podatka o sorti"
"Površina (ha)"
" ";"2009"
" ";" ";"SLOVENIJA";524.9;1208.2;215.2;2360.1;739.5;742.5;676.1;429.3;1061.3;500.7;651.3;228.8;104.6;1804.1;138.8;48.2;464.1;996.5;680.3;182.3;15.4;1291.7;34.6;913.4;24.7;143.8;173.9
" ";" ";"Podravje";305.4;609.6;10.3;1780.1;z;z;641.2;284.8;603.2;233.5;630.9;222.0;z;1075.9;z;z;0.9;z;166.1;114.4;1.5;z;29.3;71.8;-;58.6;22.2
" ";" ";"Posavje";46.1;59.0;203.2;366.6;1.3;z;32.9;39.3;64.6;z;20.4;6.3;z;270.8;z;-;0.2;z;511.1;z;13.9;z;5.1;836.1;z;63.2;143.7
" ";" ";"Primorje";173.2;538.7;0.4;210.6;738.2;z;1.6;104.8;392.7;248.4;-;0.2;z;454.6;138.7;z;463.0;z;z;48.6;-;1291.6;-;z;z;21.6;5.5
" ";" ";"Izven vinorodnih dežel";0.2;0.9;1.3;2.8;z;-;0.4;0.5;0.9;z;0.0;0.3;z;2.9;-;-;-;z;z;z;-;z;0.2;z;-;0.4;2.5
" ";"2015"
" ";" ";"SLOVENIJA";453.0;1150.4;203.1;1941.0;884.4;613.1;619.1;554.4;1118.4;493.8;547.0;223.5;95.3;1895.4;103.1;46.7;416.0;815.7;692.6;209.8;13.4;1321.0;40.3;857.2;24.2;344.8;11.4
" ";" ";"Podravje";265.2;565.8;6.5;1408.3;z;z;580.7;360.8;684.4;221.7;529.3;214.3;67.5;1142.7;z;-;z;z;165.6;z;z;z;33.4;55.5;z;77.5;4.5
" ";" ";"Posavje";43.7;61.8;195.2;354.8;1.3;z;35.7;57.9;65.1;20.5;17.6;8.6;z;270.5;z;z;1.1;0.4;523.3;22.1;12.1;0.1;6.7;z;z;229.4;2.4
" ";" ";"Primorje";143.4;521.9;0.2;174.3;882.9;z;2.0;135.2;368.0;251.4;-;0.2;z;478.5;103.0;z;412.9;814.2;0.4;60.0;-;1320.8;-;z;z;34.7;4.3
