"Površina, število vinogradov in število sadik po: MERITVE, LETO,"
"VINORODNA DEŽELA IN OKOLIŠ , VELIKOSTNI RAZREDI"

" ";" ";" ";"SKUPAJ";"< 0,05 ha";"0,05 do < 0,10 ha";"0,10 do < 0,20 ha";"0,20 do < 0,30 ha";"0,30 do < 0,50 ha";"0,50 do < 1 ha";"1 do < 2 ha";"2 do < 3 ha";"3 do < 5 ha";"5 do < 10 ha";"10 do < 20 ha";"20 do < 30 ha";">= 30 ha"
"Površina (ha)"
" ";"2009"
" ";" ";"SLOVENIJA";16354.3;88.8;683.1;1797.2;1460.3;2119.7;3066.5;2576.4;1165.4;1312.2;1052.7;467.9;121.3;442.8
" ";" ";"Podravje";6943.6;z;263.5;716.8;561.6;757.2;1089.2;1046.4;628.5;871.5;725.7;z;-;z
" ";" ";"Posavje";2746.0;z;326.3;666.5;412.0;456.0;431.2;z;73.5;71.7;47.4;-;-;-
" ";" ";"Primorje";6642.7;z;86.5;404.5;484.4;905.4;1546.0;1308.4;463.4;369.0;279.6;z;121.3;z
" ";" ";"Izven vinorodnih okolišev";22.0;z;6.9;9.4;2.4;1.0;-;z;-;-;-;-;-;-
" ";"2015"
" ";" ";"SLOVENIJA";15688.0;159.8;1098.1;1861.4;1382.7;1893.2;2697.7;2457.0;1160.4;1140.8;1011.8;517.9;z;z
" ";" ";"Podravje";6515.7;z;456.5;702.7;505.1;648.5;z;z;596.5;763.6;590.8;198.5;z;-
" ";" ";"Posavje";2755.3;69.3;460.6;646.6;368.8;396.5;377.2;236.2;76.4;66.3;57.5;-;-;-
" ";" ";"Primorje";6391.3;z;171.1;503.1;506.7;847.1;1355.9;1230.8;487.6;310.9;363.5;319.4;z;z
" ";" ";"Izven vinorodnih okolišev";25.6;z;9.8;9.1;2.1;1.1;z;z;-;-;-;-;-;-
"Število vinogradov"
" ";"2009"
" ";" ";"SLOVENIJA";42970;2568;8984;12568;5975;5518;4432;1889;484;351;155;35;5;6
" ";" ";"Podravje";16652;989;3439;5000;2305;1982;1575;748;259;230;z;z;-;z
" ";" ";"Posavje";14040;1206;4325;4751;1696;z;636;z;30;20;8;-;-;-
" ";" ";"Primorje";12085;353;1130;2748;1964;2332;2221;973;195;101;z;z;5;z
" ";" ";"Izven vinorodnih okolišev";193;20;90;69;10;z;-;z;-;-;-;-;-;-
" ";"2015"
" ";" ";"SLOVENIJA";49473;4729;14421;13034;5682;4918;3898;1802;481;307;151;40;z;z
" ";" ";"Podravje";18957;1683;5923;4913;2085;1694;1384;715;248;204;z;z;z;-
" ";" ";"Posavje";16186;2087;6141;4603;1524;z;z;z;31;19;9;-;-;-
" ";" ";"Primorje";14076;915;2226;3453;2064;2179;1959;910;202;84;z;z;z;z
" ";" ";"Izven vinorodnih okolišev";254;44;131;65;9;z;z;z;-;-;-;-;-;-
"Število sadik (v 1000)"
" ";"2009"
" ";" ";"SLOVENIJA";58914.1;478.3;3257.5;7369.8;5434.1;7620.5;10885.2;9020.8;4005.8;4383.4;3468.7;1520.1;386.1;1083.9
" ";" ";"Podravje";26213.6;z;1357.8;3263.0;2336.5;3016.4;4227.0;3759.9;2146.1;2773.7;2285.4;z;-;z
" ";" ";"Posavje";11262.6;227.6;1596.6;2835.2;1600.6;1735.8;1658.7;847.5;302.3;288.0;170.2;-;-;-
" ";" ";"Primorje";21342.2;z;271.1;1229.5;1488.9;2864.9;4999.4;z;1557.3;1321.8;1013.1;z;386.1;z
" ";" ";"Izven vinorodnih okolišev";95.7;z;31.9;42.1;8.1;3.5;-;z;-;-;-;-;-;-
" ";"2015"
" ";" ";"SLOVENIJA";57743.2;655.3;4546.9;7022.0;4972.0;6858.8;10005.2;9099.9;4278.8;4072.2;3626.7;1701.5;z;z
" ";" ";"Podravje";24802.3;z;1974.3;2858.7;1981.4;2534.8;z;z;2171.2;2623.3;2032.4;703.0;z;-
" ";" ";"Posavje";11186.1;301.4;2008.4;2597.1;1402.2;1545.0;1528.5;967.0;312.5;274.2;249.7;-;-;-
" ";" ";"Primorje";21652.5;z;522.8;1529.9;1581.2;2775.0;4699.9;4434.8;1795.1;1174.7;1344.6;998.5;z;z
" ";" ";"Izven vinorodnih okolišev";102.3;z;41.4;36.3;7.3;4.0;z;z;-;-;-;-;-;-

"Vir: Statistični urad Republike Slovenije. "
" "
"Zaradi zaokroževanja števil se seštevki ponekod ne ujemajo. "
" "
"Podatki so bili popravljeni 31.5.2016. "
" "

"Povezane vsebine: "
"- (seznam "
"HREF=http://www.stat.si/StatWeb/Common/PrikaziDokument.ashx?IdDatotek-"
"e=8222 target=_blank) Metodološka pojasnila"

