"Kmetijska zemljišča v uporabi z ekološko pridelavo (ha) po: MERITVE,"
"LETO , RABA KMETIJSKIH ZEMLJIŠČ V UPORABI"

" ";" ";"Vinogradi"
"Na ekoloških kmetijskih gospodarstvih"
" ";"2004";33.49
" ";"2005";39.17
" ";"2006";38.54
" ";"2007";44.66
" ";"2008";52.50
" ";"2009";90.77
" ";"2010";149.58
" ";"2011";131.83
" ";"2012";158.81
" ";"2013";248.21
" ";"2014";261.17
" ";"2015";272.23
" ";"2016";342.41
"Na kmetijskih gospodarstvih v preusmeritvi"
" ";"2004";15.60
" ";"2005";28.05
" ";"2006";86.48
" ";"2007";139.34
" ";"2008";138.18
" ";"2009";112.53
" ";"2010";147.36
" ";"2011";155.41
" ";"2012";165.29
" ";"2013";153.13
" ";"2014";160.64
" ";"2015";222.93
" ";"2016";193.65

"Vir: Ministrstvo za kmetijstvo, gozdarstvo in prehrano"

"Povezane vsebine: "
"(seznam "
"HREF=http://www.stat.si/StatWeb/Common/PrikaziDokument.ashx?IdDatotek-"
"e=8142 target=_blank) Metodološka pojasnila "
" "

"Na kmetijskih gospodarstvih z ekološkim statusom kot ga določa Uredba "
"Sveta (ES) "
" št.834/2007 z dne 28. junija 2007 o ekološki pridelavi in "
"označevanju "
" ekoloških proizvodov ter Pravilnik o ekološki pridelavi in predelavi "
"kmetijskih "
" pridelkov oziroma živil (UL št.71,6.9.2010). "

"Na kmetijskih gospodarstvih v določenem prehodnem obdobju  "
"pred pridobitvijo statusa ekološkega kmetijskega gospodarstva."

