"Površina vinogradov z najpogostejšimi sortami po starostnih razredih, Slovenija, 2009 and 2015"

" ";" ";"Bele sorte- Beli pinot";"Bele sorte- Chardonnay";"Bele sorte- Kraljevina";"Bele sorte- Laški rizling";"Bele sorte- Malvazija";"Bele sorte- Rebula";"Bele sorte- Renski rizling";"Bele sorte- Rumeni muškat";"Bele sorte- Sauvignon";"Bele sorte- Sivi pinot";"Bele sorte- Šipon";"Bele sorte- Traminec";"Bele sorte- Zeleni silvanec";"Ostale bele sorte";"Rdeče sorte- Barbera";"Rdeče sorte- Cabernet franc";"Rdeče sorte- Cabernet sauvignon";"Rdeče sorte- Merlot";"Rdeče sorte- Modra frankinja";"Rdeče sorte- Modri pinot";"Rdeče sorte- Portugalka";"Rdeče sorte- Refošk";"Rdeče sorte- Zweigelt";"Rdeče sorte- Žametovka";"Rdeče sorte- Syrah";"Ostale rdeče sorte";"Ni podatka o sorti"
"2009"
" ";"do 1 leta";2.7;33.7;4.6;19.0;36.5;16.5;3.5;27.8;20.8;12.1;10.1;15.3;1.8;19.5;1.3;z;6.2;8.1;22.6;6.9;z;42.9;4.2;21.7;z;0.9;z
" ";"1 do 2 leti";11.6;58.6;4.4;30.2;39.2;11.5;11.5;45.6;66.4;14.0;10.3;19.6;1.7;44.0;3.6;z;10.2;20.5;58.4;19.7;z;56.9;5.3;33.7;z;3.3;2.7
" ";"3 do 5 let";31.7;110.0;10.8;75.1;42.1;36.3;29.9;74.4;101.6;77.6;21.7;16.8;5.0;64.6;22.0;16.1;87.5;163.6;106.2;28.1;1.8;207.6;14.1;64.9;4.5;6.0;2.8
" ";"6 do 9 let";48.5;154.7;16.9;103.2;30.4;29.1;62.2;78.3;137.7;82.7;26.8;34.5;11.0;76.9;30.9;10.6;142.0;159.2;108.1;51.2;2.0;213.9;5.0;116.9;14.3;9.4;6.4
" ";"10 do 19 let";181.9;444.0;24.6;571.4;193.4;234.9;292.5;149.2;458.6;263.8;85.2;56.2;46.2;507.2;34.1;11.8;174.3;144.5;68.4;52.9;2.9;316.0;3.9;119.8;2.8;14.3;19.1
" ";"20 do 29 let";186.8;336.8;41.3;906.1;240.7;216.2;227.1;38.5;212.1;44.1;307.7;70.2;26.8;597.5;16.1;3.4;20.1;86.0;101.4;19.2;1.2;123.0;1.0;154.8;-;32.9;42.7
" ";"30 let in več";61.7;70.3;112.6;655.1;157.2;198.1;49.4;15.6;64.2;6.5;189.5;16.2;12.0;494.5;30.9;4.0;23.7;414.5;215.2;4.4;6.0;331.3;1.0;401.7;-;76.9;99.7
" ";"Ni podatka o starosti";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;z
"2015"
" ";"do 1 leta";3.6;23.4;3.0;25.6;24.6;9.1;1.9;17.2;33.1;5.1;5.5;0.6;1.1;29.7;1.8;2.3;5.3;12.4;8.8;6.0;z;21.7;0.7;14.2;z;0.6;0.4
" ";"1 do 2 leti";11.4;71.2;5.5;48.9;75.8;32.2;14.6;40.0;72.4;12.1;15.4;7.7;3.4;78.8;2.7;1.2;5.4;15.2;15.6;14.1;z;31.3;2.2;18.7;z;1.5;0.3
" ";"3 do 5 let";26.2;83.7;4.6;64.5;59.1;35.4;19.6;75.0;118.4;33.4;32.7;27.0;4.9;71.3;2.1;1.0;6.2;6.6;34.3;24.4;z;35.0;2.6;23.5;z;5.9;0.5
" ";"6 do 9 let";24.0;133.1;14.7;84.6;97.4;39.1;22.9;114.7;120.4;40.0;24.1;43.0;4.5;97.0;8.1;9.0;35.0;55.1;131.3;39.4;1.7;159.7;13.8;79.5;3.9;16.0;0.4
" ";"10 do 19 let";159.9;385.7;38.0;368.3;145.8;150.0;196.4;204.0;430.6;270.8;81.8;72.9;32.1;359.1;60.1;28.1;311.6;368.3;227.7;91.4;5.1;612.1;18.7;244.4;19.6;44.4;1.4
" ";"20 do 29 let";134.0;320.3;22.9;517.5;170.1;160.7;247.2;70.7;239.9;116.9;105.4;39.4;33.6;499.5;11.2;1.9;29.2;44.3;39.3;21.0;1.5;78.2;1.4;71.8;-;39.5;1.4
" ";"30 let in več";93.8;132.9;114.6;831.6;311.5;186.6;116.5;32.8;103.6;15.5;282.0;32.8;15.7;760.0;17.0;3.3;23.2;313.9;235.6;13.5;4.2;383.0;1.0;405.0;-;236.7;7.2
" ";"Ni podatka o starosti";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-

"Vir: Statistični urad Republike Slovenije. "
" "
"Zaradi zaokroževanja števil se seštevki ponekod ne ujemajo."

"Povezane vsebine: "
"- (seznam "
"HREF=http://www.stat.si/StatWeb/Common/PrikaziDokument.ashx?IdDatotek-"
"e=8222 target=_blank) Metodološka pojasnila"

