Prime name;Variety number VIVC;Species;Color of berry skin
BLAUFRAENKISCH;1459;VITIS VINIFERA LINNÉ SUBSP. VINIFERA ;NOIR
BOUVIER;1625;VITIS VINIFERA LINNÉ SUBSP. VINIFERA ;BLANC
CUNDRA;17669;VITIS VINIFERA LINNÉ SUBSP. VINIFERA ;BLANC
DISECKA;42122;VITIS VINIFERA LINNÉ SUBSP. VINIFERA ;
DOLGA PENTLJA;25008;VITIS VINIFERA LINNÉ SUBSP. VINIFERA ;
DOLGA PETLA;17675;VITIS VINIFERA LINNÉ SUBSP. VINIFERA ;BLANC
GNET KRAS;24599;VITIS VINIFERA LINNÉ SUBSP. VINIFERA ;
JAVOROVITE;5679;VITIS VINIFERA LINNÉ SUBSP. VINIFERA ;BLANC
KAVCINA CRNA;6047;VITIS VINIFERA LINNÉ SUBSP. VINIFERA ;NOIR
KLARNICA;40687;VITIS VINIFERA LINNÉ SUBSP. VINIFERA ;BLANC
OSIPKA;17705;VITIS VINIFERA LINNÉ SUBSP. VINIFERA ;BLANC
PERGOLIN;17707;VITIS VINIFERA LINNÉ SUBSP. VINIFERA ;BLANC
PINJELA;9402;VITIS VINIFERA LINNÉ SUBSP. VINIFERA ;BLANC
PLANINKA;17711;VITIS VINIFERA LINNÉ SUBSP. VINIFERA ;BLANC
POLJSAKICA;17712;VITIS VINIFERA LINNÉ SUBSP. VINIFERA ;BLANC
PORTUGIESER BLAU;9620;VITIS VINIFERA LINNÉ SUBSP. VINIFERA ;NOIR
RANFOL BELI;9908;VITIS VINIFERA LINNÉ SUBSP. VINIFERA ;BLANC
RECIGLA;17714;VITIS VINIFERA LINNÉ SUBSP. VINIFERA ;BLANC
SLADKOCICA;17721;VITIS VINIFERA LINNÉ SUBSP. VINIFERA ;NOIR
TANTOVINA EICHENBLAETTRIGE;23368;VITIS VINIFERA LINNÉ SUBSP. VINIFERA ;BLANC
VERBENA;17735;VITIS VINIFERA LINNÉ SUBSP. VINIFERA ;BLANC
VITOUSKA GARGANIJA;16017;VITIS VINIFERA LINNÉ SUBSP. VINIFERA ;BLANC
VITOVSKA;24412;VITIS VINIFERA LINNÉ SUBSP. VINIFERA ;BLANC
VRTOVKA;17737;VITIS VINIFERA LINNÉ SUBSP. VINIFERA ;BLANC
ZELEN;13412;VITIS VINIFERA LINNÉ SUBSP. VINIFERA ;BLANC
ZIMMETTRAUBE BLAU;24493;VITIS VINIFERA LINNÉ SUBSP. VINIFERA ;NOIR
ZUNEK;17739;VITIS VINIFERA LINNÉ SUBSP. VINIFERA ;BLANC
