Prime name;Color of berry skin;Variety number VIVC;Country of origin of the variety
183;NOIR;41139;
A LA REINE;BLANC;1;
ABAAJICHE;BLANC;19069;GEORGIA
ABACA;BLANC;15528;SPAIN
ABADESA;BLANC;15529;SPAIN
ABADI;;24154;ALGERIA
ABALI KOCA;BLANC;2;TURKEY
ABATSVIZH;ROUGE;5745;GEORGIA
ABBADIA BIANCA;BLANC;3;ITALY
ABBAS PACHA ABIAD;BLANC;20577;SYRIAN ARAB REPUBLIC
ABBAS PACHA AHMAR;ROUGE;20578;SYRIAN ARAB REPUBLIC
ABBASY;BLANC;24641;AZERBEIJAN
ABBOTTABOTTI;BLANC;4;
ABBOU;NOIR;141;MOROCCO
ABBRUZZESE BIANCA;BLANC;5;ITALY
ABBRUZZESE CAMPOMAGGIORE;BLANC;6;ITALY
ABBUOTO;NOIR;7;ITALY
ABDERAZAK BEN HAMAMA;;24155;ALGERIA
ABDONA;NOIR;10527;ITALY
ABDOULKADIRIL TZIBIL;NOIR;20579;DAGHESTAN
ABDULLAH;ROUGE;23676;TURKEY
ABECHBACH;BLANC;20580;ALGERIA
ABEIDI;;9;SYRIAN ARAB REPUBLIC
ABEILLANE;;10;
ABEJERA;BLANC;11;SPAIN
ABEL CHATENAY;BLANC;20581;FRANCE
ABELHAL;BLANC;12;PORTUGAL
ABELLO;BLANC;22900;ITALY
ABERKANE;NOIR;13;ALGERIA
ABESO;;14;PORTUGAL
ABGUS;;15;TURKEY
ABI;NOIR;20582;IRAQ
ABI BALO;;25013;IRAN
ABI BIRJAND;;13915;IRAN
ABI SAFID;BLANC;13831;IRAN
ABISTAJE;BLANC;20583;GEORGIA
ABJOUCH;BLANC;17;AFGHANISTAN
ABKHASURA SHARI;NOIR;18;GEORGIA
ABKHASURA TETRI;BLANC;19;SUN (FORMERLY USSR, UNION OF SOVIET SOCIALIST REPUBLICS)
ABKHAZSKY;NOIR;20584;GEORGIA
ABLA AGANYN IZYUM;BLANC;20;UKRAINE
ABLAK ASSWAD;NOIR;20586;SYRIAN ARAB REPUBLIC
ABLAK BEYAZ;ROSE;21;TURKEY
ABLAK SIYAH;NOIR;22;TURKEY
ABONDANCE;NOIR;23;FRANCE
ABONDANT;BLANC;24;FRANCE
ABOQUEL BLANCO;BLANC;26;SPAIN
ABOQUEL NEGRO;NOIR;27;SPAIN
ABOQUI MENUDA;;37;SPAIN
ABORIETRAUBE;BLANC;25;ITALY
ABORRAL;;36;PORTUGAL
ABOUHOU;NOIR;35;MOROCCO
ABOURIOU;NOIR;34;FRANCE
ABOVYANI;BLANC;16450;ARMENIA
ABRAHIMOFF;ROUGE;10528;IRAN
ABRAJATO BIANCO;BLANC;29;ITALY
ABRIKOSOVYI AROMATNYI;ROSE;21840;RUSSIAN FEDERATION
ABROFI;ROUGE;30;ITALY
ABRUNHAL;NOIR;31;PORTUGAL
ABRUSCO;NOIR;32;ITALY
ABSHERON GARA UZUMU;NOIR;21841;AZERBEIJAN
ABSHERON GELINBARMAGY;BLANC;21842;AZERBEIJAN
ABSHERON GYZYL UZUMU;ROSE;21843;AZERBEIJAN
ABSHERON KECHIEMJEISI;ROSE;21844;AZERBEIJAN
ABSHERON KHATUNISY;BLANC;24642;AZERBEIJAN
ABSHERON KISHMISHI (KOR KISHMISH);BLANC;41728;AZERBEIJAN
ABSHERON MERENDISI;BLANC;21845;AZERBEIJAN
ABSHILURI;NOIR;806;GEORGIA
ABUELBAKI;BLANC;33;TURKEY
ABUQUI GORDAL;BLANC;38;SPAIN
ABYAD;BLANC;39;SYRIAN ARAB REPUBLIC
ACADEMICA;BLANC;40;PORTUGAL
ACADEMICIAN ERYOMIN;NOIR;23996;RUSSIAN FEDERATION
ACADEMICIAN TRUBILIN;NOIR;24029;RUSSIAN FEDERATION
ACARRENA;;41;SPAIN
ACCENT;NOIR;20540;GERMANY
ACCESTONE;NOIR;42;ITALY
ACEBO;;43;SPAIN
ACEITUNA;;44;PERU
ACEITUNA;BLANC;17107;SPAIN
ACETO;BLANC;45;ITALY
ACHAT;ROSE;22423;SLOVAKIA
ACHEMOYETA;NOIR;11754;FRANCE
ACHKIKIZH;ROUGE;48;GEORGIA
ACHLADI;ROUGE;20592;GREECE
ACHLAMICHE;BLANC;14764;SYRIAN ARAB REPUBLIC
ACI KARA;NOIR;5247;TURKEY
ACIAPERONE;BLANC;14180;ITALY
ACIKIRAN;BLANC;49;TURKEY
ACITANA;NOIR;24330;ITALY
ACITANA;BLANC;50;ITALY
ACOLON;NOIR;17123;GERMANY
ACOREANA;NOIR;51;PORTUGAL
ACSAI;BLANC;52;HUNGARY
ADA KARASI;NOIR;54;TURKEY
ADADI;BLANC;22895;ALGERIA
ADAGO;BLANC;55;HUNGARY
ADAKALKA;BLANC;66;SERBIA
ADAM;;6919;
ADAMI;NOIR;40086;GREECE
ANZOB;BLANC;6924;TAJIKISTAN
ANZOLICA NERA;NOIR;10535;ITALY
AOSSEGA;;505;ITALY
AOUILLAT;BLANC;504;FRANCE
APAPNYZH;NOIR;506;GEORGIA
APARATZINE;NOIR;20843;ARMENIA
APASULO NERO;NOIR;507;ITALY
APESORGIA NERA;NOIR;508;ITALY
APILONGO;;510;
APIRENA BERNARDINI;BLANC;40391;
APIRENA BRUNI;BLANC;511;ITALY
APIRENA DI VELLETRI;BLANC;512;
APIROSA;ROSE;513;PORTUGAL
APOGRAPHIE;NOIR;10536;GREECE
APOI KHAGOG;BLANC;514;RUSSIAN FEDERATION
APOLLON;NOIR;24031;RUSSIAN FEDERATION
APPLEY TOWERS;NOIR;515;UNITED KINGDOM
APPONYI ALBERT;BLANC;516;HUNGARY
APRETA;BLANC;6078;SPAIN
APRILLA;NOIR;517;
APROSTAFILOS;BLANC;518;GREECE
APROSTAPHILO;NOIR;5192;GREECE
APSHERONSKII GARA SIRKAI;NOIR;16475;AZERBEIJAN
APTICHE AGA;ROUGE;519;ARMENIA
AQUILI I SAFID;BLANC;520;AFGHANISTAN
ARA HIRNA;;14776;AZERBEIJAN
ARABENI SPITAK;BLANC;521;ARMENIA
ARABEULI SHAVI;NOIR;522;GEORGIA
ARAGAO;;524;PORTUGAL
ARAGATSI;ROSE;525;ARMENIA
ARAI;BLANC;6079;ARMENIA
ARAIGNAN;BLANC;527;FRANCE
ARAKLINOS;NOIR;528;GREECE
ARAKSENI BELYI;BLANC;529;ARMENIA
ARAKSENI CHERNYI;NOIR;530;ARMENIA
ARAMIS;NOIR;532;PORTUGAL
ARAMON BLANC;BLANC;533;FRANCE
ARAMON BLANC DE LA CALMETTE;BLANC;14777;FRANCE
ARAMON BOUSCHET 1;NOIR;534;FRANCE
ARAMON BOUSCHET 4;NOIR;14778;FRANCE
ARAMON BOUSCHET 6;NOIR;538;FRANCE
ARAMON BOUSCHET 7;NOIR;539;FRANCE
ARAMON BOUSCHET 8;NOIR;540;FRANCE
ARAMON BOUSCHET 9;NOIR;541;FRANCE
ARAMON GRIS;GRIS;543;FRANCE
ARAMON NOIR;NOIR;544;FRANCE
ARAMON NOIR A FEUILLES COTONNEUSES;NOIR;545;FRANCE
ARAMON SODEA;;25661;MOROCCO
ARAMON TEINTURIER BOUSCHET;NOIR;547;FRANCE
ARAMONT;ROUGE;548;
ARANA;ROUGE;549;FRANCE
ARANEL;BLANC;9314;FRANCE
ARANKA;BLANC;550;HUNGARY
ARANY JANOS;BLANC;551;HUNGARY
ARANYAT ER;BLANC;552;HUNGARY
ARANYKA;BLANC;10537;HUNGARY
ARAP PARMAGI;NOIR;994;TURKEY
ARARATI;BLANC;553;ARMENIA
ARARATI SEV;NOIR;3084;ARMENIA
ARATABER;BLANC;5754;ARMENIA
ARAYATLY GARA UZUM;NOIR;21888;AZERBEIJAN
ARAZBARI;BLANC;21889;AZERBEIJAN
ARBANE;BLANC;554;FRANCE
ARBANE NOIR;NOIR;555;FRANCE
ARBANE ROUGE;ROUGE;556;FRANCE
ARBARA;;557;ITALY
ARBELLO;;559;PORTUGAL
ARBI;NOIR;22917;TUNISIA
ARBI ABIADH (DEGACHE);BLANC;22989;TUNISIA
ARBI ABIADH (TOZEUR);BLANC;22988;TUNISIA
ARBIXEDDA;BLANC;561;ITALY
ARBOIS BLANC;BLANC;562;FRANCE
ARBOIS ROSE;ROSE;563;FRANCE
ARBST;NOIR;25040;GERMANY
ARBUA;;6926;
ARCAS;NOIR;566;ROMANIA
ARCHANIATICO KOKINE;;568;
ARCHINA;;570;ITALY
ARDITSA;;572;
ARDONA;NOIR;17386;FRANCE
ARDONENC;;573;FRANCE
ARDONNET;NOIR;574;FRANCE
ARDOUMAZA BELCHA;NOIR;16256;SPAIN
AREGU GIALLO;BLANC;24486;ITALY
AREKAK;;24160;ALGERIA
ARENAL;BLANC;575;SPAIN
ARENI SEV;NOIR;576;ARMENIA
ARENI SEYRAK;NOIR;24855;ARMENIA
ARENI SPITAK;BLANC;577;ARMENIA
ARENI VANKAPATKAN;NOIR;24856;ARMENIA
ARENONE;BLANC;578;ITALY
ARESSO;;579;
ARETI;BLANC;40104;GREECE
ARETINA;NOIR;580;GREECE
AREVAR;BLANC;581;ARMENIA
AREVIK SEV;NOIR;582;ARMENIA
AREVIK SPITAK;BLANC;583;ARMENIA
AREVSHAT;ROUGE;5755;ARMENIA
ARGAJLARTO;BLANC;584;
ARGAMAN;NOIR;17294;ISRAEL
ADANA BEYAZI;BLANC;56;TURKEY
ADANA KARASI;NOIR;57;TURKEY
ADANASURI;NOIR;58;GEORGIA
ADARVE;BLANC;15530;SPAIN
ADELFRAENKISCH;BLANC;23324;SWITZERLAND
ADENIZH;NOIR;63;
ADISI;NOIR;23843;ARMENIA
ADJARULI SHAVI;NOIR;21846;GEORGIA
ADJARULI TETRI;BLANC;21847;GEORGIA
ADMIRABLE DE COURTILLER;BLANC;68;FRANCE
ADOMINIQUE;ROUGE;25287;ISRAEL
ADORENTA;ROUGE;14138;ITALY
ADREULI SAGHVINE;;21848;GEORGIA
ADREULI SHAVI;NOIR;70;GEORGIA
ADREULI TETRI;BLANC;71;GEORGIA
ADREULI TKHELKANA;BLANC;16266;GEORGIA
ADREULI TKHESAKHANI;BLANC;21850;GEORGIA
ADREULI TSITELI;NOIR;21851;GEORGIA
ADREULI VARDISPHERI;ROSE;21852;GEORGIA
ADZHEM MISKET;BLANC;73;UKRAINE
ADZI;BLANC;74;MOLDOVA
ADZNIZH;NOIR;75;GEORGIA
ADZYZ UZUM;NOIR;21853;RUSSIAN FEDERATION
AFALOS CHANOUMISSAS;BLANC;40087;GREECE
AFARTA POBRES;ROUGE;78;SPAIN
AFFENTHALER;NOIR;79;GERMANY
AFFENTHALER SCHWARZBLAU;NOIR;80;GERMANY
AFRARA;;24156;ALGERIA
AFRICANA;ROSE;10529;ITALY
AFRODITA;BLANC;22723;BULGARIA
AFTOGIOULI CHONDRORAGO;BLANC;40089;GREECE
AFTOGIOULI PSILORAGO;NOIR;40090;GREECE
AFUS ALI;BLANC;122;LEBANON
AFUS ALI KEK;NOIR;40738;
AG ALDARA;BLANC;81;ARMENIA
AG ALMARDAN;BLANC;24643;AZERBEIJAN
AG ANGUR;ROUGE;21855;AZERBEIJAN
AG BEILAGANI;BLANC;23430;AZERBEIJAN
AG CHAKRAK;BLANC;82;DAGHESTAN
AG DERBENDI;BLANC;21854;AZERBEIJAN
AG EMCHEK;BLANC;83;RUSSIAN FEDERATION
AG GEI BANDAM;BLANC;84;AZERBEIJAN
AG GYAVRA;BLANC;23064;AZERBEIJAN
AG GYILABI;BLANC;21856;AZERBEIJAN
AG HOENUESUE;BLANC;20793;TURKEY
AG HYUSEINI;BLANC;21857;AZERBEIJAN
AG IZYUM UROZHAJNYJ;BLANC;23486;DAGHESTAN
AG KALAMBIR;BLANC;86;AZERBEIJAN
AG KECHIMDZHEGI;BLANC;23431;DAGHESTAN
AG KELENPYUR;BLANC;21858;AZERBEIJAN
AG KHERJI;BLANC;21859;AZERBEIJAN
AG KOKUR;BLANC;21860;UKRAINE
AG KYURDASH;BLANC;87;AZERBEIJAN
AG KYURDASH FAUX;NOIR;42200;
AG MALAYI;BLANC;24126;AZERBEIJAN
AG MELEI;BLANC;21861;AZERBEIJAN
AG MERENDI;BLANC;21862;AZERBEIJAN
AG MEVDZHI;BLANC;88;AZERBEIJAN
AG NABITNOI;BLANC;21863;AZERBEIJAN
AG SEEBI;BLANC;21864;AZERBEIJAN
AG SERGI;BLANC;23720;TURKEY
AG SHIRAI;BLANC;23447;AZERBEIJAN
AG SHIREI;BLANC;11750;AZERBEIJAN
AG SHIREII;BLANC;23493;AZERBEIJAN
AG TEZJETISHAN IZYUM;BLANC;23448;AZERBEIJAN
AG TOPAK;BLANC;89;TURKEY
