"";"Ime";"Drzava.izvora";"Barva"
"1";"Adalmiina";"USA";"Bela"
"2";"Addoraca";"Italy";"Bela"
"3";"Aidani / Aidini / Aedani";"Greece (Santorini)";"Bela"
"4";"Airén";"Spain";"Bela"
"5";"Alarije / Alarijen";"Spain";"Bela"
"6";"Albalonga";"Germany";"Bela"
"7";"Albana";"Italy";"Bela"
"8";"Albanella";"Italy";"Bela"
"9";"Albanello bianco";"Italy";"Bela"
"10";"Albaranzeuli bianco";"Italy";"Bela"
"11";"Albarello";"Spain";"Bela"
"12";"Albarino / Alvarinho / Cainho branco";"Spain";"Bela"
"13";"Albarola";"Italy";"Bela"
"14";"Albillo";"Spain";"Bela"
"15";"Aligoté";"France (Burgundy)";"Bela"
"16";"Alionza";"Italy (Emilia-Romagna)";"Bela"
"17";"Altesse / Roussette";"France";"Bela"
"18";"Amigne";"Switzerland";"Bela"
"19";"Ansonica / Inzolia";"Italy";"Bela"
"20";"Antao Vaz";"";"Bela"
"21";"Arany sárfehér / Izsáki";"Hungary (Izsák)";"Bela"
"22";"Arbane";"France";"Bela"
"23";"Arbois";"France";"Bela"
"24";"Arilla";"Italy";"Bela"
"25";"Arinto / Assario branco";"Portugal";"Bela"
"26";"Arneis";"Italy";"Bela"
"27";"Arnsburger";"Germany";"Bela"
"28";"Arrufiac / Arrufiat / Ruffiac";"France";"Bela"
"29";"Arvesiniadu";"Italy";"Bela"
"30";"Asprinio bianco";"Italy";"Bela"
"31";"Assyrtiko / Assyrtico";"Greece";"Bela"
"32";"Athiri";"Greece";"Bela"
"33";"Aubin / Aubin blanc";"France";"Bela"
"34";"Aubin vert";"France";"Bela"
"35";"Aurelius";"";"Bela"
"36";"Auxerrois blanc";"France";"Bela"
"37";"Avesso";"Portugal";"Bela"
"38";"Azal branco";"Portugal";"Bela"
"39";"Barcelo";"";"Bela"
"40";"Bacchus";"Germany";"Bela"
"41";"Baco blanc";"France, USA";"Bela"
"42";"Baiyu / Rkatsiteli";"Georgia";"Bela"
"43";"Balzac blanc";"France";"Bela"
"44";"Banat Riesling / Banat Rizling";"";"Bela"
